date,course,beginning,middle,end,mean_atd,mean_atd_rate
1/18/2022,3130,75,77,71,74.33,0.35
1/18/2022,3500,40,41,39,40.00,0.21
1/19/2022,4400,45,44,47,45.33,0.31
1/19/2022,3200,19,21,21,20.33,0.24
1/20/2022,3500,49,53,51,51.00,0.26
1/24/2022,4400,44,46,45,45.00,0.31
1/24/2022,3200,21,24,24,23.00,0.27
1/24/2022,5140,27,29,29,28.33,1.09
1/25/2022,3500,45,45,48,46.00,0.24
1/26/2022,4400,47,50,49,48.67,0.34
1/26/2022,3200,23,26,25,24.67,0.29
1/26/2022,5140,25,26,24,25.00,0.96
1/27/2022,3500,47,51,50,49.33,0.25
1/31/2022,4400,46,48,48,47.33,0.33
1/31/2022,3200,19,15,15,16.33,0.19
1/31/2022,5140,20,22,21,21.00,0.81
2/1/2022,3500,48,51,44,47.67,0.25
2/2/2022,4400,42,45,44,43.67,0.30
2/2/2022,3200,12,16,14,14.00,0.17
2/2/2022,5140,25,24,22,23.67,0.91
2/3/2022,3500,57,56,50,54.33,0.28
2/7/2022,4400,44,47,47,46.00,0.32
2/7/2022,4400,42,43,41,42.00,0.29
2/7/2022,3200,16,20,18,18.00,0.21
2/7/2022,5140,21,24,24,23.00,0.88
2/8/2022,3130,99,98,88,95.00,0.44
2/8/2022,3500,55,55,52,54.00,0.28
2/9/2022,4400,45,50,49,48.00,0.33
2/9/2022,4400,44,59,57,53.33,0.37
2/9/2022,3200,13,14,13,13.33,0.16
2/9/2022,5140,27,27,19,24.33,0.94
2/10/2022,3130,96,32,13,47.00,0.22
2/10/2022,3500,54,59,56,56.33,0.29
2/14/2022,4400,51,54,52,52.33,0.36
2/14/2022,3200,11,12,11,11.33,0.13
2/14/2022,5140,23,25,21,23.00,0.88
2/15/2022,3130,110,110,97,105.67,0.49
2/15/2022,3500,55,56,54,55.00,0.28
2/16/2022,4400,41,52,53,48.67,0.34
2/16/2022,3200,11,12,10,11.00,0.13
2/16/2022,5140,23,22,11,18.67,0.72
2/17/2022,3500,56,57,56,56.33,0.29
2/21/2022,4400,55,57,51,54.33,0.37
2/22/2022,3130,94,90,79,87.67,0.41
2/22/2022,3500,54,55,52,53.67,0.28
2/23/2022,4400,43,58,41,47.33,0.33
2/23/2022,3200,11,12,10,11.00,0.13
2/23/2022,5140,26,25,15,22.00,0.85
2/24/2022,3130,85,,,85.00,0.40
2/24/2022,3500,54,53,52,53.00,0.27
2/28/2022,4400,41,54,42,45.67,0.31
2/28/2022,3200,8,7,9,8.00,0.10
2/28/2022,5140,24,28,26,26.00,1.00
3/1/2022,3130,77,76,68,73.67,0.34
3/1/2022,3500,53,51,52,52.00,0.27
3/2/2022,4400,51,44,44,46.33,0.32
3/2/2022,3200,6,7,6,6.33,0.08
3/2/2022,5140,22,20,10,17.33,0.67
3/3/2022,3130,78,,,78.00,0.36
3/3/2022,3500,42,45,40,42.33,0.22
3/14/2022,4400,51,57,45,51.00,0.35
3/14/2022,3200,7,8,8,7.67,0.09
3/14/2022,5140,26,28,26,26.67,1.03
3/15/2022,3130,74,72,64,70.00,0.33
3/15/2022,3500,59,58,52,56.33,0.29
3/16/2022,4400,51,47,53,50.33,0.35
3/16/2022,3200,6,9,7,7.33,0.09
3/21/2022,4400,40,43,52,45.00,0.31
3/21/2022,3200,8,11,9,9.33,0.11
3/21/2022,5140,25,25,24,24.67,0.95
3/22/2022,3130,71,71,63,68.33,0.32
3/22/2022,3500,51,50,48,49.67,0.26
3/23/2022,4400,48,50,45,47.67,0.33
3/23/2022,3200,7,9,8,8.00,0.10
3/23/2022,5140,22,22,17,20.33,0.78
3/24/2022,3130,87,,,87.00,0.41
3/24/2022,3500,50,51,42,47.67,0.25
