date,course,atd_start,atd_mid,atd_end,enrolled,temp_tm2,temp_tm1,temp_tm0,weather,uu_new_cases,uu_new_cases_7da
1/18/2022,3130,75,77,71,214.00,36,36,34,Mostly Cloudy,153,131.3
2/8/2022,3130,99,98,88,214.00,46.8,47.26,47.35,Scattered Clouds,24,30.1
2/10/2022,3130,96,32,13,214.00,48.34,49.28,49.68,Clear Sky,24,30.1
2/15/2022,3130,110,110,97,214.00,49.42,49.01,47.25,Broken Clouds,15,16.1
2/22/2022,3130,94,90,79,214.00,35.17,34.63,33.89,Broken Clouds,17,13.6
2/24/2022,3130,85,NA,NA,214.00,27.79,28.2,28.56,Broken Clouds,17,13.6
3/1/2022,3130,77,76,68,214.00,56.48,57.52,57.29,Broken Clouds,8,5.4
3/3/2022,3130,78,NA,NA,214.00,67.53,67.14,NA,Clear Sky,NA,NA
3/15/2022,3130,74,72,64,214.00,59.32,62,61,Broken Clouds,NA,NA
3/22/2022,3130,71,71,63,214.00,48.81,49.86,50.14,Scattered Clouds,NA,NA
3/24/2022,3130,87,NA,NA,214.00,64.87,65.71,66.45,Few Clouds,NA,NA
3/29/2022,3130,67,65,55,214.00,54.09,55.26,55.35,Broken Clouds,NA,NA
3/31/2022,3130,72,NA,NA,214.00,42.06,43.65,47.12,Broken Clouds,NA,NA
4/5/2022,3130,74,75,61,214.00,42.51,43.32,44.02,Broken Clouds,NA,NA
4/12/2022,3130,82,87,71,214.00,33.73,35.4,35.31,Light Snow,NA,NA
1/19/2022,3200,19,21,21,84.00,30,31,31,Mostly Cloudy,54,117.3
1/24/2022,3200,21,24,24,84.00,35,37,39,Partly Cloudy,29,71.3
1/26/2022,3200,23,26,25,84.00,32,36,37,Clear Sky,48,70.3
1/31/2022,3200,19,15,15,84.00,37,42,45,Partly Cloudy,48,70.3
2/2/2022,3200,12,16,14,84.00,24.71,25.93,26.74,Partly Cloudy,28,46.7
2/7/2022,3200,16,20,18,84.00,39.67,42.28,44.04,Clear Sky,11,30.7
2/9/2022,3200,13,14,13,84.00,43.77,45.39,46.04,Broken Clouds,24,30.1
2/14/2022,3200,11,12,11,84.00,51.17,53.74,55.98,Broken Clouds,20,22.1
2/16/2022,3200,11,12,10,84.00,31.71,32.3,32.56,Light Snow,15,16.1
2/23/2022,3200,11,12,10,84.00,21.85,22.75,23.43,Overcast Clouds,17,13.6
2/28/2022,3200,8,7,9,84.00,41.92,44.91,47.82,Scattered Clouds,8,5.4
